CENTRAL,18404
NORTHERN,19841
INGLESIDE,13161
SOUTHERN,29776
MISSION,18334
TENDERLOIN,10598
RICHMOND,8982
TARAVAL,11769
BAYVIEW,14380
PARK,9238
