Crime,Ratio
WEAPON LAWS,0.56853112154855
PROSTITUTION,1.1111899793998765
DRIVING UNDER THE INFLUENCE,0.7244839979627845
ROBBERY,0.9069095458873855
BURGLARY,1.241356375251478
DRUNKENNESS,1.2596043781075923
DRUG/NARCOTIC,0.33263490330375745
TRESPASS,1.2991161554052006
VANDALISM,1.0297261117501124
VEHICLE THEFT,0.7981765476960847
STOLEN PROPERTY,1.1371933291299334
ASSAULT,0.9248426511144906
DISORDERLY CONDUCT,1.0920178029364258
LARCENY/THEFT,1.4644716255267847
